GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,InterceptionReturnTouchdowns,BlockedKicks,PuntReturnTouchdowns,PuntReturnLong,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnYards,BlockedKickReturnTouchdowns,FieldGoalReturnYards,FieldGoalReturnTouchdowns,PuntNetYards,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,OpponentFumbleReturnYards,OpponentFumbleReturnTouchdowns,OpponentInterceptionReturnTouchdowns,OpponentBlockedKicks,OpponentPuntReturnTouchdowns,OpponentPuntReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnLong,OpponentBlockedKickReturnYards,OpponentBlockedKickReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalReturnTouchdowns,OpponentPuntNetYards,IsGameOver,TeamName,DayOfWeek,PassingDropbacks,OpponentPassingDropbacks,TeamGameID,TwoPointConversionReturns,OpponentTwoPointConversionReturns,TeamID,OpponentID,Day,DateTime,GlobalGameID,GlobalTeamID,GlobalOpponentID,ScoreID
201711001,2017-11-09T20:25:00,1,2017,10,ARI,SEA,HOME,16,22,38,University of Phoenix Stadium,Dome,79,53,7,52.8,10.5,0,7,3,6,0,38,12,29:7,32,3,21,10,96,383,7.0,3,32,45,2.4,2,62,32,338,2,0,9.4,14.1,67.5,98.3,20,10,52.8,5,2,44.0,5,3,0,0,81,12,77,2,2,3,22,12,11,0,9,304,60.8,2,0,-1,7,8,0,7,0,40,70,30:53,18,5,13,2,79,379,8.4,3,30,99,5.8,0,42,29,280,3,0,11.5,12.7,90.9,142.4,17,5,30.5,0,0,0.0,7,3,0,0,24,16,143,0,0,9,34,12,11,2,11,526,65.8,0,2,2,88.1,0.0,-3,0,5,46.0,25.0,4.1,66.0,0.0,3,0,-4,44.0,24.3,17.8,9,5,2,0,-4.8,3,2,2,0,0,0,0,2,2,0,10,81,2,2,0,0,9,7,7,0,-10.0,3,3,0,0,0,0,0,3,3,0,3,24,5,75,0,0,66,11,9,0,10,2,0,0,0,0,0,0,21,0,2,0,0,0,0,-24,67,12,3,22,12,2,2,0,0,0,0,0,20,0,26,0,0,0,0,-81,True,Cardinals,Thursday,65,49,993000099,0,0,1,30,2017-11-09T00:00:00,2017-11-09T20:25:00,16441,1,30,16441
201711002,2017-11-12T16:25:00,1,2017,10,ATL,DAL,HOME,27,7,34,Georgia Dome,Dome,58,132,5,64.1,-4.6,3,7,7,10,0,42,10,32:6,29,12,17,3,85,444,9.1,5,45,174,6.8,2,38,29,269,3,2,12.2,12.3,100.3,136.4,17,12,71.1,2,0,0.0,7,5,0,0,0,9,46,0,0,2,15,12,12,0,3,112,56.1,2,3,2,7,0,0,0,0,36,71,27:54,24,12,12,0,78,308,6.8,2,28,141,8.9,2,40,26,166,0,0,7.3,11.0,88.1,99.3,15,9,60.1,2,0,0.0,3,2,0,0,24,9,71,3,3,11,66,7,12,0,7,226,56.5,3,2,-1,99.1,0.0,9,3,12,56.7,31.3,3.3,66.0,0.0,-7,-3,-9,27.2,17.6,27.9,10,9,7,0,0.0,5,5,0,0,0,0,0,3,3,0,0,0,2,34,0,0,3,3,2,0,0.0,2,2,0,0,0,0,0,2,0,0,2,15,3,67,2,12,61,17,11,0,5,3,3,0,0,0,0,0,0,0,34,0,0,0,0,0,58,34,2,0,7,0,0,0,0,0,0,0,15,0,44,0,0,0,0,0,True,Falcons,Sunday,40,50,993000119,0,0,2,9,2017-11-12T00:00:00,2017-11-12T16:25:00,16451,2,9,16451
201711004,2017-11-12T13:00:00,1,2017,10,BUF,NO,HOME,10,47,57,Ralph Wilson Stadium,Artificial,45,132,3,64.1,4.4,3,0,0,7,0,24,49,18:37,13,3,12,2,59,262,7.7,2,20,91,8.0,0,37,21,170,2,2,8.0,10.7,75.4,87.1,15,3,24.0,2,0,0.0,3,2,0,0,0,11,74,0,0,3,10,2,7,0,10,359,59.8,2,2,0,7,10,20,10,0,54,30,41:23,42,26,12,5,96,637,11.5,10,63,394,10.8,10,33,24,243,0,0,12.9,13.5,95.1,122.5,16,10,66.0,3,3,132.1,12,9,0,0,61,7,54,2,2,0,0,5,9,0,0,0,0.0,2,2,0,66.0,0.0,-3,-1,-3,11.0,7.0,6.7,94.3,0.0,3,2,3,44.0,13.2,0.0,5,3,3,0,0.0,2,2,0,0,0,0,0,2,2,0,0,0,5,83,0,0,12,11,10,0,0.0,10,9,0,0,0,0,0,3,3,0,9,25,0,0,2,36,74,37,0,0,3,2,2,0,0,0,0,0,0,0,38,0,0,0,0,0,45,11,3,0,9,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,True,Bills,Sunday,40,33,993000107,0,0,4,22,2017-11-12T00:00:00,2017-11-12T13:00:00,16442,4,22,16442
201711005,2017-11-13T20:30:00,1,2017,10,CAR,MIA,HOME,45,21,66,Bank of America Stadium,Grass,53,132,12,50.9,-10.6,3,14,21,7,0,46,52,35:39,40,16,21,3,94,724,10.2,10,48,388,10.8,3,46,28,336,7,0,12.7,16.0,79.3,159.1,18,15,103.8,0,0,0.0,7,7,0,0,13,10,49,0,0,0,0,2,5,0,3,112,56.1,0,2,2,0,7,7,7,0,32,28,24:21,22,5,16,3,71,413,10.1,5,22,132,10.3,2,49,29,281,3,2,10.1,12.8,78.6,108.8,16,12,77.0,2,0,0.0,3,3,0,0,0,12,75,0,0,0,0,3,2,0,7,221,55.2,2,0,-1,132.1,0.0,-1,3,0,23.2,4.7,0,132.1,0.0,2,-3,0,4.9,9.9,0.0,11,10,7,0,0.0,10,10,0,0,0,0,0,2,2,0,3,13,7,107,2,0,7,3,0,0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,7,115,0,0,36,29,0,0,12,0,0,0,0,0,0,0,11,0,34,0,0,0,0,0,46,50,0,0,3,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,True,Panthers,Monday,46,49,993000125,0,0,5,19,2017-11-13T00:00:00,2017-11-13T20:30:00,16454,5,19,16454
201711006,2017-11-12T13:00:00,1,2017,10,CHI,GB,HOME,16,23,39,Soldier Field,Grass,52,132,12,49.5,-5.9,3,3,0,10,0,34,12,26:7,18,2,16,2,75,427,9.9,2,22,73,5.6,0,46,28,354,2,0,10.2,16.9,79.3,123.5,18,7,37.8,2,0,0.0,0,0,0,0,11,11,103,2,2,9,38,12,9,0,9,318,63.7,2,0,-1,3,7,3,10,0,44,70,33:53,24,10,13,3,86,452,9.2,3,49,211,7.5,2,33,24,240,2,0,12.7,13.3,95.1,139.7,21,12,57.9,2,2,132.1,5,2,0,0,55,9,46,0,0,5,40,12,13,0,7,211,52.8,0,2,2,0.0,0.0,0,-7,-3,17.8,33.0,12.5,44.0,0.0,0,9,3,77.7,23.1,14.1,7,5,3,0,0.0,2,2,0,0,0,0,0,5,5,0,2,11,10,169,0,0,10,5,0,0,0.0,3,3,0,0,0,0,0,7,5,0,7,55,3,67,0,0,77,7,5,0,3,0,0,0,0,0,0,0,11,0,45,0,0,0,0,0,61,10,9,0,7,2,0,0,0,0,0,0,20,0,45,0,0,0,0,0,True,Bears,Sunday,53,37,993000105,0,0,6,12,2017-11-12T00:00:00,2017-11-12T13:00:00,16443,6,12,16443
201711034,2017-11-12T13:00:00,1,2017,10,CIN,TEN,AWAY,20,24,44,LP Field,Grass,70,132,5,53.5,7.9,6,7,0,7,0,25,67,19:51,20,7,13,2,66,407,10.8,5,18,70,6.6,2,46,26,337,3,0,12.7,16.9,75.4,130.9,13,2,13.2,2,2,132.1,3,2,0,0,87,16,111,3,3,2,13,11,10,0,12,464,66.2,3,3,0,7,10,0,7,0,53,12,40:9,36,15,13,10,111,550,8.7,5,48,238,8.7,3,58,33,312,2,2,9.4,12.4,75.0,92.3,20,12,61.7,0,0,0.0,5,5,0,0,22,9,73,2,2,7,37,3,5,0,10,448,74.6,3,3,0,66.0,0.0,10,5,5,22.1,22.1,2.8,132.1,0.0,-8,-4,-4,28.3,9.8,11.0,7,3,2,0,0.0,5,3,0,0,0,0,0,0,0,0,7,61,2,34,2,26,7,7,5,0,0.0,5,5,0,0,0,0,0,3,2,0,5,22,5,94,0,0,77,26,7,0,7,2,0,0,0,0,0,0,30,0,34,0,0,0,0,0,41,13,2,0,12,2,3,0,0,0,0,0,12,0,42,0,0,0,0,0,True,Bengals,Sunday,48,63,993000102,0,0,7,34,2017-11-12T00:00:00,2017-11-12T13:00:00,16448,7,34,16448
201711011,2017-11-12T13:00:00,1,2017,10,CLE,DET,AWAY,24,38,62,Ford Field,Dome,48,132,5,56.1,13.2,10,0,14,0,0,45,45,34:34,34,18,12,5,102,546,9.4,5,44,266,10.6,3,53,29,280,2,2,9.2,12.7,72.7,89.7,20,9,44.0,7,7,132.1,10,5,0,0,15,12,79,2,2,7,33,11,10,0,9,318,63.7,3,2,-1,3,14,7,14,0,33,34,25:26,21,12,12,0,65,456,12.2,9,25,137,9.6,2,34,22,318,5,2,12.3,18.8,86.4,155.4,15,9,60.1,0,0,0.0,3,3,0,0,132,12,107,0,0,7,11,15,10,0,7,232,58.1,2,3,2,66.0,0.0,-4,0,0,41.7,35.3,9.1,132.1,0.0,5,0,0,24.0,33.0,17.6,9,9,9,0,0.0,5,5,0,0,0,0,0,2,2,0,3,15,3,46,2,0,12,10,9,0,0.0,9,9,0,0,0,0,0,2,2,0,7,74,0,0,2,0,44,15,7,0,7,0,0,0,0,0,0,0,15,0,29,0,0,0,0,0,69,28,7,0,10,2,2,58,2,0,0,0,38,0,0,0,0,0,0,0,True,Browns,Sunday,58,40,993000100,0,0,8,11,2017-11-12T00:00:00,2017-11-12T13:00:00,16444,8,11,16444
201711002,2017-11-12T16:25:00,1,2017,10,DAL,ATL,AWAY,7,27,34,Georgia Dome,Dome,58,132,5,64.1,6.1,7,0,0,0,0,36,71,27:54,24,12,12,0,78,308,6.8,2,28,141,8.9,2,40,26,166,0,0,7.3,11.0,88.1,99.3,15,9,60.1,2,0,0.0,3,2,0,0,24,9,71,3,3,11,66,7,12,0,7,226,56.5,3,2,-1,3,7,7,10,0,42,10,32:6,29,12,17,3,85,444,9.1,5,45,174,6.8,2,38,29,269,3,2,12.2,12.3,100.3,136.4,17,12,71.1,2,0,0.0,7,5,0,0,0,9,46,0,0,2,15,12,12,0,3,112,56.1,2,3,2,66.0,0.0,-7,-3,-9,27.2,17.6,21.1,99.1,0.0,9,3,12,56.7,31.3,5.8,3,3,2,0,0.0,2,2,0,0,0,0,0,2,0,0,2,15,3,67,2,12,10,9,7,0,0.0,5,5,0,0,0,0,0,3,3,0,0,0,2,34,0,0,58,34,2,0,7,0,0,0,0,0,0,0,15,0,44,0,0,0,0,0,61,17,11,0,5,3,3,0,0,0,0,0,0,0,34,0,0,0,0,0,True,Cowboys,Sunday,50,40,993000118,0,0,9,2,2017-11-12T00:00:00,2017-11-12T16:25:00,16451,9,2,16451
201711010,2017-11-12T20:30:00,1,2017,10,DEN,NE,HOME,16,41,57,Sports Authority Field at Mile High,Grass,42,36,7,59.4,12.2,6,3,7,0,0,40,22,30:17,22,9,15,2,81,448,9.8,2,37,156,7.3,0,44,24,292,2,2,11.7,16.2,72.0,96.3,20,11,70.4,0,0,0.0,5,2,0,0,0,9,37,2,2,0,0,9,7,0,3,125,62.7,3,0,-3,14,13,7,7,0,38,57,29:43,37,10,24,7,89,523,10.3,9,38,131,5.9,2,49,37,392,5,0,10.6,14.0,100.0,165.9,15,7,48.1,5,2,44.0,10,7,0,0,40,2,9,0,0,2,10,3,2,0,2,57,56.8,0,3,3,44.0,0.0,5,5,2,18.2,17.4,0,88.1,0.0,-4,-4,-1,6.3,10.6,4.5,9,7,7,0,0.0,2,2,0,0,0,0,0,5,5,0,2,0,12,177,0,0,11,7,2,0,0.0,9,9,0,0,0,0,0,3,3,0,0,0,2,136,2,40,54,32,2,0,3,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,63,12,0,0,10,0,2,0,0,0,2,0,0,2,136,0,0,0,0,0,True,Broncos,Sunday,44,50,993000123,0,0,10,21,2017-11-12T00:00:00,2017-11-12T20:30:00,16453,10,21,16453
201711011,2017-11-12T13:00:00,1,2017,10,DET,CLE,HOME,38,24,62,Ford Field,Dome,48,132,5,56.1,-13.2,3,14,7,14,0,33,34,25:26,21,12,12,0,65,456,12.2,9,25,137,9.6,2,34,22,318,5,2,12.3,18.8,86.4,155.4,15,9,60.1,0,0,0.0,3,3,0,0,132,12,107,0,0,7,11,15,10,0,7,232,58.1,2,3,2,10,0,14,0,0,45,45,34:34,34,18,12,5,102,546,9.4,5,44,266,10.6,3,53,29,280,2,2,9.2,12.7,72.7,89.7,20,9,44.0,7,7,132.1,10,5,0,0,15,12,79,2,2,7,33,11,10,0,9,318,63.7,3,2,-1,132.1,0.0,5,0,0,24.0,33.0,13.3,66.0,0.0,-4,0,0,41.7,35.3,12.0,12,10,9,0,0.0,9,9,0,0,0,0,0,2,2,0,7,74,0,0,2,0,9,9,9,0,0.0,5,5,0,0,0,0,0,2,2,0,3,15,3,46,2,0,69,28,7,0,10,2,2,58,2,0,0,0,38,0,0,0,0,0,0,0,44,15,7,0,7,0,0,0,0,0,0,0,15,0,29,0,0,0,0,0,True,Lions,Sunday,40,58,993000101,0,0,11,8,2017-11-12T00:00:00,2017-11-12T13:00:00,16444,11,8,16444
